Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,per,usagePercent,offensiveWs,winShares,offensiveBox,vorp,win_percentage,ranking,MVP
70.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,36.6,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,,0.24324324324324326,0.02972972972972973,0.06486486486486487,0.02027027027027027,0.012162162162162163,0.017374517374517374,0.005945945945945946,0.008108108108108109,0.02027027027027027,0.012162162162162163,0.44720000000000004,15.4,19.7,3.7,6.5,0.7,1.9,0.622,5.0,0
81.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,32.8,7.4,11.8,0.628,0.0,0.0,,7.4,11.8,0.628,0.628,2.0,3.0,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,"DPOY-6,DEF2",0.21000000000000002,0.03375,0.1575,0.008749999999999999,0.013750000000000002,0.015000000000000001,0.006750000000000001,0.0196875,0.008749999999999999,0.013750000000000002,0.5024,22.3,19.5,7.0,11.7,2.3,3.4,0.61,9.0,0
82.0,Derrick White,30.0,BOS,SG,76.0,76.0,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,DPOY-10,0.2157894736842105,0.06315789473684211,0.05921052631578947,0.011842105263157895,0.014473684210526317,0.015413533834586464,0.01263157894736842,0.007401315789473684,0.011842105263157895,0.014473684210526317,0.46399999999999997,16.6,19.8,5.1,8.5,2.7,3.6,0.744,3.0,0
89.0,Myles Turner,28.0,IND,C,72.0,72.0,30.2,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,0.21666666666666667,0.020833333333333332,0.09027777777777778,0.011111111111111112,0.027777777777777776,0.015476190476190477,0.004166666666666667,0.011284722222222222,0.011111111111111112,0.027777777777777776,0.46159999999999995,16.1,20.7,1.8,4.7,0.0,1.3,0.61,6.0,0
90.0,Christian Braun,23.0,DEN,SG,79.0,77.0,33.9,6.0,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,,0.1949367088607595,0.03291139240506329,0.06582278481012659,0.013924050632911394,0.006329113924050633,0.013924050632911394,0.006582278481012659,0.008227848101265823,0.013924050632911394,0.006329113924050633,0.5072,16.0,15.8,6.2,8.0,0.8,1.6,0.61,8.0,0
98.0,Aaron Gordon,29.0,DEN,PF,51.0,42.0,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,0.28823529411764703,0.06274509803921569,0.09411764705882353,0.00980392156862745,0.0058823529411764705,0.020588235294117647,0.012549019607843137,0.011764705882352941,0.00980392156862745,0.0058823529411764705,0.4856,17.0,19.0,3.6,4.3,2.7,1.2,0.61,8.0,0
101.0,Josh Giddey,22.0,CHI,PG,70.0,69.0,30.2,5.3,11.4,0.465,1.5,4.0,0.378,3.8,7.4,0.512,0.531,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,,0.20857142857142857,0.10285714285714286,0.11571428571428571,0.017142857142857144,0.008571428571428572,0.01489795918367347,0.02057142857142857,0.014464285714285714,0.017142857142857144,0.008571428571428572,0.4248,18.1,21.7,2.8,5.3,1.9,2.7,0.476,18.0,0
106.0,Payton Pritchard,27.0,BOS,PG,80.0,3.0,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,6MOY-1,0.17875000000000002,0.04375,0.0475,0.01125,0.0025,0.012767857142857145,0.008749999999999999,0.0059375,0.01125,0.0025,0.496,17.6,19.0,6.1,8.6,3.4,3.2,0.744,3.0,0
107.0,Naz Reid,25.0,MIN,C,80.0,17.0,27.5,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,6MOY-5,0.1775,0.028749999999999998,0.075,0.008749999999999999,0.01125,0.012678571428571428,0.00575,0.009375,0.008749999999999999,0.01125,0.44480000000000003,15.8,21.5,2.4,5.7,0.8,2.0,0.598,10.0,0
108.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,33.8,6.0,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,"DPOY-2,MIP-1,DEF1",0.18552631578947368,0.05789473684210527,0.07763157894736843,0.039473684210526314,0.009210526315789473,0.01325187969924812,0.011578947368421053,0.009703947368421053,0.039473684210526314,0.009210526315789473,0.4288,15.6,18.2,1.3,5.0,-1.1,2.3,0.488,16.0,0
110.0,Amen Thompson,22.0,HOU,SF,69.0,42.0,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,"DPOY-5,DEF1",0.2043478260869565,0.05507246376811594,0.11884057971014492,0.020289855072463767,0.01884057971014493,0.014596273291925465,0.011014492753623189,0.014855072463768115,0.020289855072463767,0.01884057971014493,0.45999999999999996,18.7,17.5,4.1,8.0,1.4,3.4,0.634,4.0,0
117.0,Josh Hart,29.0,NYK,SG,77.0,77.0,37.6,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,,0.17662337662337663,0.07662337662337662,0.12467532467532468,0.01948051948051948,0.005194805194805195,0.012615955473098331,0.015324675324675324,0.015584415584415584,0.01948051948051948,0.005194805194805195,0.46319999999999995,16.5,15.3,5.4,9.2,1.1,3.6,0.622,5.0,0
118.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,,0.16463414634146342,0.023170731707317073,0.11829268292682926,0.010975609756097562,0.010975609756097562,0.011759581881533102,0.004634146341463414,0.014786585365853658,0.010975609756097562,0.010975609756097562,0.5648,22.1,15.9,7.6,11.6,3.0,3.6,0.78,2.0,0
119.0,Onyeka Okongwu,24.0,ATL,C,74.0,40.0,27.9,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,,0.1810810810810811,0.03108108108108108,0.12027027027027028,0.012162162162162163,0.012162162162162163,0.012934362934362936,0.006216216216216216,0.015033783783783785,0.012162162162162163,0.012162162162162163,0.4816,19.0,17.3,4.9,7.2,1.2,1.7,0.488,16.0,0
